,Jogador,Campeonato,Rodada,Data,Mandante,Oponente,Posição,Minuto,Tipo,Assistido por
1194,Messi,LaLiga,Group Stage,2018-03-04,H,Atlético Madrid  ,SS,26,Direct free kick,
1195,Messi,Champions League,Round of 16,2018-03-14,H,Chelsea,SS,3,Right-footed shot,Luis Suárez
1197,Messi,LaLiga,Group Stage,2018-03-18,H,Athletic  ,SS ,30,Left-footed shot,Ousmane Dembélé
1198,Messi,LaLiga,Group Stage,2018-03-31,A,Sevilla FC  ,RW,89,Left-footed shot,Philippe Coutinho
1199,Messi,LaLiga,Group Stage,2018-04-07,H,CD Leganés  ,SS ,27,Direct free kick,
1202,Messi,Copa del Rey,Final,2018-04-21,A,Sevilla FC,SS,31,Left-footed shot,Jordi Alba
1203,Messi,LaLiga,Group Stage,2018-04-29,A,Dep. La Coruña  ,SS ,38,Left-footed shot,Luis Suárez
1206,Messi,LaLiga,Group Stage,2018-05-06,H,Real Madrid  ,SS,52,Left-footed shot,Luis Suárez
1207,Messi,LaLiga,Group Stage,2018-05-09,H,Villarreal  ,CF,45,Left-footed shot,Andrés Iniesta
1208,Messi,LaLiga,Group Stage,2018-08-18,H,Alavés  ,RW ,64,Direct free kick,
1210,Messi,LaLiga,Group Stage,2018-09-02,H,SD Huesca  ,RW ,16,Right-footed shot,Ivan Rakitic
1212,Messi,Champions League,Group Stage,2018-09-18,H,PSV Eindhoven,RW ,31,Direct free kick,
1215,Messi,LaLiga,Group Stage,2018-09-23,H,Girona  ,RW ,19,Left-footed shot,Arturo Vidal
1216,Messi,Champions League,Group Stage,2018-10-03,A,Spurs,RW ,56,Left-footed shot,Jordi Alba
1218,Messi,LaLiga,Group Stage,2018-10-07,A,Valencia  ,RW ,23,Left-footed shot,Luis Suárez
1219,Messi,LaLiga,Group Stage,2018-10-20,H,Sevilla FC  ,RW ,12,Left-footed shot,Luis Suárez
1220,Messi,LaLiga,Group Stage,2018-11-11,H,Real Betis  ,SS ,68,Penalty,
1222,Messi,Champions League,Group Stage,2018-11-28,A,PSV Eindhoven,CF ,61,Left-footed shot,Ousmane Dembélé
1223,Messi,LaLiga,Group Stage,2018-12-08,A,Espanyol  ,RW ,17,Direct free kick,
1225,Messi,LaLiga,Group Stage,2018-12-16,A,Levante  ,CF ,43,Right-footed shot,Sergio Busquets
1228,Messi,LaLiga,Group Stage,2018-12-22,H,Celta de Vigo  ,RW ,45,Left-footed shot,Jordi Alba
1229,Messi,LaLiga,Group Stage,2019-01-06,A,Getafe  ,RW ,20,Left-footed shot,
1230,Messi,LaLiga,Group Stage,2019-01-13,H,SD Eibar  ,RW ,53,Left-footed shot,Luis Suárez
1231,Messi,Copa del Rey,Round of 16,2019-01-17,H,Levante,CF ,54,Left-footed shot,Nélson Semedo
1232,Messi,LaLiga,Group Stage,2019-01-20,H,CD Leganés  ,SS,92,Right-footed shot,Jordi Alba
1233,Messi,LaLiga,Group Stage,2019-01-27,A,Girona  ,RW ,69,Left-footed shot,Jordi Alba
1234,Messi,Copa del Rey,Quarter-Finals,2019-01-30,H,Sevilla FC,RW ,92,Left-footed shot,Jordi Alba
1235,Messi,LaLiga,Group Stage,2019-02-02,H,Valencia  ,RW ,39,Penalty,
1237,Messi,LaLiga,Group Stage,2019-02-16,H,Real Valladolid  ,RW ,43,Penalty,
1238,Messi,LaLiga,Group Stage,2019-02-23,A,Sevilla FC  ,RW ,26,Left-footed shot,Ivan Rakitic
1241,Messi,LaLiga,Group Stage,2019-03-09,H,Rayo Vallecano  ,RW ,51,Penalty,
1242,Messi,Champions League,Round of 16,2019-03-13,H,Olympique Lyon,RW ,18,Penalty,
1244,Messi,LaLiga,Group Stage,2019-03-17,A,Real Betis  ,SS ,18,Direct free kick,
1247,Messi,LaLiga,Group Stage,2019-03-30,H,Espanyol  ,RW ,71,Direct free kick,
1249,Messi,LaLiga,Group Stage,2019-04-02,A,Villarreal  ,RW,90,Direct free kick,
1250,Messi,LaLiga,Group Stage,2019-04-06,H,Atlético Madrid  ,SS ,87,Left-footed shot,
1251,Messi,Champions League,Quarter-Finals,2019-04-16,H,Man Utd,RW ,16,Left-footed shot,
1253,Messi,LaLiga,Group Stage,2019-04-27,H,Levante  ,RW,62,Left-footed shot,Arturo Vidal
1254,Messi,Champions League,Semi-Finals,2019-05-01,H,Liverpool,RW ,75,Left-footed shot,Luis Suárez
1256,Messi,LaLiga,Group Stage,2019-05-19,A,SD Eibar  ,CF ,31,Left-footed shot,Arturo Vidal
1258,Messi,Copa del Rey,Final,2019-05-25,H,Valencia,CF ,73,Left-footed shot,Clément Lenglet
1259,Messi,LaLiga,Group Stage,2019-10-06,H,Sevilla FC  ,RW ,78,Direct free kick,
1260,Messi,LaLiga,Group Stage,2019-10-19,A,SD Eibar  ,RW ,58,Left-footed shot,Antoine Griezmann
1261,Messi,Champions League,Group Stage,2019-10-23,A,Slavia Prague,RW ,3,Left-footed shot,Arthur
1262,Messi,LaLiga,Group Stage,2019-10-29,H,Real Valladolid  ,RW ,34,Direct free kick,
1264,Messi,LaLiga,Group Stage,2019-11-02,A,Levante  ,RW ,38,Penalty,
