,Jogador,Campeonato,Rodada,Data,Mandante,Oponente,Posição,Minuto,Tipo,Assistido por
288,Ronaldo,LaLiga,Group Stage,2012-12-01,H,Atlético Madrid  ,LW,16,Direct free kick,
289,Ronaldo,Champions League,Group Stage,2012-12-04,H,Ajax,LW,13,Right-footed shot,Karim Benzema
290,Ronaldo,Copa del Rey,Round of 16,2012-12-12,A,Celta de Vigo,LW,87,Left-footed shot,Xabi Alonso
291,Ronaldo,LaLiga,Group Stage,2012-12-16,H,Espanyol  ,CF,45,Right-footed shot,Sami Khedira
292,Ronaldo,LaLiga,Group Stage,2013-01-06,H,Real Sociedad  ,LW ,67,Left-footed shot,Karim Benzema
294,Ronaldo,Copa del Rey,Round of 16,2013-01-09,H,Celta de Vigo,LW,2,Right-footed shot,Álvaro Arbeloa
297,Ronaldo,LaLiga,Group Stage,2013-01-20,A,Valencia  ,LW,35,Left-footed shot,Fábio Coentrão
299,Ronaldo,LaLiga,Group Stage,2013-01-27,H,Getafe  ,LW,62,Left-footed shot,Mesut Özil
302,Ronaldo,LaLiga,Group Stage,2013-02-09,H,Sevilla FC  ,LW,26,Left-footed shot,Kaká
305,Ronaldo,Champions League,Round of 16,2013-02-13,H,Man Utd,LW,30,Header,Ángel Di María
306,Ronaldo,Copa del Rey,Semi-Finals,2013-02-26,A,FC Barcelona,LW,12,Penalty,
308,Ronaldo,Champions League,Round of 16,2013-03-05,A,Man Utd,LW,69,Right-footed shot,Gonzalo Higuaín
309,Ronaldo,LaLiga,Group Stage,2013-03-10,A,Celta de Vigo  ,LW,61,Left-footed shot,José Callejón
311,Ronaldo,LaLiga,Group Stage,2013-03-16,H,RCD Mallorca  ,LW,52,Header,Mesut Özil
312,Ronaldo,LaLiga,Group Stage,2013-03-30,A,Real Zaragoza  ,LW,38,Long distance kick,
313,Ronaldo,Champions League,Quarter-Finals,2013-04-03,H,Galatasaray,LW,9,Left-footed shot,Mesut Özil
314,Ronaldo,LaLiga,Group Stage,2013-04-06,H,Levante  ,CF,84,Right-footed shot,Gonzalo Higuaín
315,Ronaldo,Champions League,Quarter-Finals,2013-04-09,A,Galatasaray,LW,8,Right-footed shot,Sami Khedira
317,Ronaldo,LaLiga,Group Stage,2013-04-14,A,Athletic  ,LW,2,Direct free kick,
319,Ronaldo,Champions League,Semi-Finals,2013-04-24,A,Bor. Dortmund,LW,43,Right-footed shot,Gonzalo Higuaín
320,Ronaldo,LaLiga,Group Stage,2013-05-04,H,Real Valladolid  ,LW,32,Header,Ángel Di María
322,Ronaldo,LaLiga,Group Stage,2013-05-08,H,Málaga CF  ,LW ,26,Right-footed shot,Xabi Alonso
323,Ronaldo,Copa del Rey,Final,2013-05-17,A,Atlético Madrid,LW,14,Header,Luka Modric
324,Ronaldo,LaLiga,Group Stage,2013-09-01,H,Athletic  ,LW,45,Header,Ángel Di María
325,Ronaldo,LaLiga,Group Stage,2013-09-14,A,Villarreal  ,LW,64,Right-footed shot,
326,Ronaldo,Champions League,Group Stage,2013-09-17,A,Galatasaray,LW,63,Left-footed shot,Isco
329,Ronaldo,LaLiga,Group Stage,2013-09-22,H,Getafe  ,LW,34,Penalty,
331,Ronaldo,LaLiga,Group Stage,2013-09-25,A,Elche CF  ,LW,51,Direct free kick,
333,Ronaldo,Champions League,Group Stage,2013-10-02,H,FC Copenhagen,LW,21,Header,Marcelo
335,Ronaldo,LaLiga,Group Stage,2013-10-05,A,Levante  ,LW,94,Right-footed shot,Luka Modric
336,Ronaldo,LaLiga,Group Stage,2013-10-19,H,Málaga CF  ,LW,91,Penalty,
337,Ronaldo,Champions League,Group Stage,2013-10-23,H,Juventus,LW,4,Right-footed shot,Ángel Di María
339,Ronaldo,LaLiga,Group Stage,2013-10-30,H,Sevilla FC  ,LW,31,Penalty,
342,Ronaldo,LaLiga,Group Stage,2013-11-02,A,Rayo Vallecano  ,LW,3,Right-footed shot,Luka Modric
344,Ronaldo,Champions League,Group Stage,2013-11-05,A,Juventus,LW,52,Right-footed shot,Karim Benzema
345,Ronaldo,LaLiga,Group Stage,2013-11-09,H,Real Sociedad  ,LW,12,Right-footed shot,Karim Benzema
348,Ronaldo,LaLiga,Group Stage,2013-11-23,A,UD Almería  ,LW,3,Left-footed shot,Isco
349,Ronaldo,Champions League,Group Stage,2013-12-10,A,FC Copenhagen,LW,48,Right-footed shot,Pepe
350,Ronaldo,LaLiga,Group Stage,2013-12-22,A,Valencia  ,LW,40,Header,Ángel Di María
351,Ronaldo,LaLiga,Group Stage,2014-01-06,H,Celta de Vigo  ,LW,82,Right-footed shot,Daniel Carvajal
353,Ronaldo,Copa del Rey,Round of 16,2014-01-15,A,CA Osasuna,LW,22,Direct free kick,
354,Ronaldo,LaLiga,Group Stage,2014-01-18,A,Real Betis  ,LW,10,Right-footed shot,Ángel Di María
355,Ronaldo,LaLiga,Group Stage,2014-01-25,H,Granada CF  ,LW,57,Right-footed shot,Luka Modric
356,Ronaldo,Copa del Rey,Semi-Finals,2014-02-11,A,Atlético Madrid,LW,6,Penalty,
358,Ronaldo,Champions League,Round of 16,2014-02-26,A,FC Schalke 04,LW,52,Left-footed shot,Gareth Bale
360,Ronaldo,LaLiga,Group Stage,2014-03-02,A,Atlético Madrid  ,LW,82,Right-footed shot,Gareth Bale
361,Ronaldo,LaLiga,Group Stage,2014-03-09,H,Levante  ,LW,11,Header,Ángel Di María
362,Ronaldo,LaLiga,Group Stage,2014-03-15,A,Málaga CF  ,LW,23,Right-footed shot,Gareth Bale
363,Ronaldo,Champions League,Round of 16,2014-03-18,H,FC Schalke 04,LW,22,Right-footed shot,Gareth Bale
365,Ronaldo,LaLiga,Group Stage,2014-03-23,H,FC Barcelona  ,LW,55,Penalty,
366,Ronaldo,LaLiga,Group Stage,2014-03-26,A,Sevilla FC  ,LW,14,Direct free kick,
367,Ronaldo,LaLiga,Group Stage,2014-03-29,H,Rayo Vallecano  ,LW,15,Right-footed shot,Gareth Bale
368,Ronaldo,Champions League,Quarter-Finals,2014-04-02,H,Bor. Dortmund,LW,57,Left-footed shot,Luka Modric
369,Ronaldo,LaLiga,Group Stage,2014-04-26,H,CA Osasuna  ,LW,6,Long distance kick,Ángel Di María
371,Ronaldo,Champions League,Semi-Finals,2014-04-29,A,Bayern Munich ,LW,34,Counter attack goal,Gareth Bale
373,Ronaldo,LaLiga,Group Stage,2014-05-04,H,Valencia  ,LW,90,Right-footed shot,Ángel Di María
374,Ronaldo,Champions League,Final,2014-05-24,H,Atlético Madrid,LW,120,Penalty,
375,Ronaldo,UEFA Super Cup,Final,2014-08-12,H,Sevilla FC,LW,30,Right-footed shot,Gareth Bale
377,Ronaldo,LaLiga,Group Stage,2014-08-25,H,Córdoba CF  ,LW,90,Right-footed shot,Isco
378,Ronaldo,LaLiga,Group Stage,2014-09-13,H,Atlético Madrid  ,LW,25,Penalty,
379,Ronaldo,Champions League,Group Stage,2014-09-16,H,FC Basel,LW,31,Right-footed shot,Gareth Bale
380,Ronaldo,LaLiga,Group Stage,2014-09-20,A,Dep. La Coruña  ,RW,29,Header,Álvaro Arbeloa
383,Ronaldo,LaLiga,Group Stage,2014-09-23,H,Elche CF  ,CF,28,Penalty,
387,Ronaldo,LaLiga,Group Stage,2014-09-27,A,Villarreal  ,CF,40,Right-footed shot,Karim Benzema
388,Ronaldo,Champions League,Group Stage,2014-10-01,A,Ludogorets,CF,25,Penalty,
389,Ronaldo,LaLiga,Group Stage,2014-10-05,H,Athletic  ,LW,3,Header,Gareth Bale
392,Ronaldo,LaLiga,Group Stage,2014-10-18,A,Levante  ,CF,13,Penalty,
394,Ronaldo,Champions League,Group Stage,2014-10-22,A,Liverpool,CF,23,Right-footed shot,James Rodríguez
395,Ronaldo,LaLiga,Group Stage,2014-10-25,H,FC Barcelona  ,CF,35,Penalty,
396,Ronaldo,LaLiga,Group Stage,2014-11-01,A,Granada CF  ,CF,2,Right-footed shot,Karim Benzema
397,Ronaldo,LaLiga,Group Stage,2014-11-08,H,Rayo Vallecano  ,CF,83,Right-footed shot,Isco
398,Ronaldo,LaLiga,Group Stage,2014-11-22,A,SD Eibar  ,CF,43,Right-footed shot,Daniel Carvajal
400,Ronaldo,Champions League,Group Stage,2014-11-26,A,FC Basel,LW,35,Left-footed shot,Karim Benzema
401,Ronaldo,LaLiga,Group Stage,2014-12-06,H,Celta de Vigo  ,CF,36,Penalty,
404,Ronaldo,Champions League,Group Stage,2014-12-09,H,Ludogorets,CF ,20,Penalty,
405,Ronaldo,LaLiga,Group Stage,2014-12-12,A,UD Almería  ,CF,81,Right-footed shot,Karim Benzema
407,Ronaldo,LaLiga,Group Stage,2015-01-04,A,Valencia  ,LW,14,Penalty,
408,Ronaldo,Copa del Rey,Round of 16,2015-01-15,H,Atlético Madrid,CF,54,Header,Gareth Bale
409,Ronaldo,LaLiga,Group Stage,2015-01-18,A,Getafe  ,LW,63,Left-footed shot,Karim Benzema
411,Ronaldo,Champions League,Round of 16,2015-02-18,A,FC Schalke 04,LW,26,Header,Daniel Carvajal
412,Ronaldo,LaLiga,Group Stage,2015-02-22,A,Elche CF  ,CF,69,Header,Isco
413,Ronaldo,LaLiga,Group Stage,2015-03-01,H,Villarreal  ,CF,52,Penalty,
414,Ronaldo,Champions League,Round of 16,2015-03-10,H,FC Schalke 04,CF,25,Header,Toni Kroos
416,Ronaldo,LaLiga,Group Stage,2015-03-22,A,FC Barcelona  ,LW,31,Right-footed shot,Karim Benzema
417,Ronaldo,LaLiga,Group Stage,2015-04-05,H,Granada CF  ,CF,30,Right-footed shot,James Rodríguez
422,Ronaldo,LaLiga,Group Stage,2015-04-08,A,Rayo Vallecano  ,LW,68,Header,Daniel Carvajal
423,Ronaldo,LaLiga,Group Stage,2015-04-11,H,SD Eibar  ,LW,21,Direct free kick,
424,Ronaldo,LaLiga,Group Stage,2015-04-18,H,Málaga CF  ,CF,92,Left-footed shot,Chicharito
425,Ronaldo,LaLiga,Group Stage,2015-05-02,A,Sevilla FC  ,CF,36,Header,Isco
428,Ronaldo,Champions League,Semi-Finals,2015-05-05,A,Juventus,CF,27,Header,James Rodríguez
429,Ronaldo,Champions League,Semi-Finals,2015-05-13,H,Juventus,LW,23,Penalty,
430,Ronaldo,LaLiga,Group Stage,2015-05-17,A,Espanyol  ,LW,59,Left-footed shot,Karim Benzema
433,Ronaldo,LaLiga,Group Stage,2015-05-23,H,Getafe  ,LW,13,Header,Marcelo
436,Ronaldo,LaLiga,Group Stage,2015-09-12,A,Espanyol  ,LW,7,Right-footed shot,Luka Modric
441,Ronaldo,Champions League,Group Stage,2015-09-15,H,Shakhtar D.,LW,56,Penalty,
444,Ronaldo,Champions League,Group Stage,2015-09-30,A,Malmö FF,LW ,29,Right-footed shot,Isco
446,Ronaldo,LaLiga,Group Stage,2015-10-17,H,Levante  ,CF,30,Right-footed shot,Toni Kroos
447,Ronaldo,LaLiga,Group Stage,2015-10-24,A,Celta de Vigo  ,CF,8,Right-footed shot,Lucas Vázquez
448,Ronaldo,LaLiga,Group Stage,2015-10-31,H,UD Las Palmas  ,CF,14,Header,Marcelo
449,Ronaldo,Champions League,Group Stage,2015-11-25,A,Shakhtar D.,CF,18,Header,Gareth Bale
451,Ronaldo,LaLiga,Group Stage,2015-11-29,A,SD Eibar  ,CF,82,Penalty,
452,Ronaldo,LaLiga,Group Stage,2015-12-05,H,Getafe  ,LW,38,Right-footed shot,Toni Kroos
453,Ronaldo,Champions League,Group Stage,2015-12-08,H,Malmö FF,LW,39,Direct free kick,
457,Ronaldo,LaLiga,Group Stage,2015-12-20,H,Rayo Vallecano  ,LW,30,Penalty,
459,Ronaldo,LaLiga,Group Stage,2015-12-30,H,Real Sociedad  ,LW,42,Penalty,
461,Ronaldo,LaLiga,Group Stage,2016-01-17,H,Sporting Gijón  ,LW,9,Left-footed shot,Karim Benzema
463,Ronaldo,LaLiga,Group Stage,2016-01-31,H,Espanyol  ,LW,12,Penalty,
466,Ronaldo,LaLiga,Group Stage,2016-02-13,H,Athletic  ,LW,3,Right-footed shot,Karim Benzema
468,Ronaldo,Champions League,Round of 16,2016-02-17,A,AS Roma,LW,57,Right-footed shot,Marcelo
469,Ronaldo,LaLiga,Group Stage,2016-02-21,A,Málaga CF  ,LW,33,Header,Toni Kroos
470,Ronaldo,LaLiga,Group Stage,2016-03-02,A,Levante  ,LW,34,Penalty,
471,Ronaldo,LaLiga,Group Stage,2016-03-05,H,Celta de Vigo  ,LW,50,Long distance kick,Sergio Ramos
475,Ronaldo,Champions League,Round of 16,2016-03-08,H,AS Roma,CF,64,Right-footed shot,Lucas Vázquez
476,Ronaldo,LaLiga,Group Stage,2016-03-20,H,Sevilla FC  ,LW,64,Left-footed shot,Danilo
477,Ronaldo,LaLiga,Group Stage,2016-04-02,A,FC Barcelona  ,LW,85,Right-footed shot,Gareth Bale
478,Ronaldo,LaLiga,Group Stage,2016-04-09,H,SD Eibar  ,CF,19,Right-footed shot,Jesé
479,Ronaldo,Champions League,Quarter-Finals,2016-04-12,H,VfL Wolfsburg,LW,16,Right-footed shot,Daniel Carvajal
482,Ronaldo,LaLiga,Group Stage,2016-04-16,A,Getafe  ,LW,92,Right-footed shot,Jesé
483,Ronaldo,LaLiga,Group Stage,2016-05-08,H,Valencia  ,LW,26,Right-footed shot,Marcelo
485,Ronaldo,LaLiga,Group Stage,2016-05-14,A,Dep. La Coruña  ,LW,8,Left-footed shot,Karim Benzema
487,Ronaldo,LaLiga,Group Stage,2016-09-10,H,CA Osasuna  ,LW,6,Right-footed shot,Gareth Bale
488,Ronaldo,Champions League,Group Stage,2016-09-14,H,Sporting CP,LW,89,Direct free kick,
489,Ronaldo,Champions League,Group Stage,2016-09-27,A,Bor. Dortmund,LW,17,Right-footed shot,Gareth Bale
490,Ronaldo,LaLiga,Group Stage,2016-10-15,A,Real Betis  ,LW,78,Right-footed shot,Álvaro Morata
491,Ronaldo,LaLiga,Group Stage,2016-10-29,A,Alavés  ,LW,17,Penalty,
494,Ronaldo,LaLiga,Group Stage,2016-11-19,A,Atlético Madrid  ,CF,23,Direct free kick,
497,Ronaldo,LaLiga,Group Stage,2016-11-26,H,Sporting Gijón  ,LW,5,Penalty,
499,Ronaldo,Club World Cup,Semi-Finals,2016-12-15,A,América,LW,93,Right-footed shot,James Rodríguez
500,Ronaldo,Club World Cup,Final,2016-12-18,H,Kashima Antlers,LW,60,Penalty,
503,Ronaldo,LaLiga,Group Stage,2017-01-07,H,Granada CF  ,LW,27,Header,Marcelo
504,Ronaldo,LaLiga,Group Stage,2017-01-15,A,Sevilla FC  ,CF,67,Penalty,
505,Ronaldo,Copa del Rey,Quarter-Finals,2017-01-25,A,Celta de Vigo,CF,62,Direct free kick,
506,Ronaldo,LaLiga,Group Stage,2017-01-29,H,Real Sociedad  ,LW,51,Right-footed shot,Mateo Kovacic
507,Ronaldo,LaLiga,Group Stage,2017-02-11,A,CA Osasuna  ,CF,24,Right-footed shot,Karim Benzema
508,Ronaldo,LaLiga,Group Stage,2017-02-22,A,Valencia  ,LW,44,Header,Marcelo
509,Ronaldo,LaLiga,Group Stage,2017-02-26,A,Villarreal  ,LW,74,Penalty,
510,Ronaldo,LaLiga,Group Stage,2017-03-01,H,UD Las Palmas  ,LW,86,Penalty,
512,Ronaldo,LaLiga,Group Stage,2017-03-12,H,Real Betis  ,LW,41,Header,Marcelo
513,Ronaldo,Champions League,Quarter-Finals,2017-04-12,A,Bayern Munich ,LW,47,Right-footed shot,Daniel Carvajal
515,Ronaldo,Champions League,Quarter-Finals,2017-04-18,H,Bayern Munich ,CF,76,Header,Casemiro
518,Ronaldo,LaLiga,Group Stage,2017-04-29,H,Valencia  ,LW,27,Header,Daniel Carvajal
519,Ronaldo,Champions League,Semi-Finals,2017-05-02,H,Atlético Madrid,CF,10,Header,Casemiro
522,Ronaldo,LaLiga,Group Stage,2017-05-14,H,Sevilla FC  ,LW,23,Right-footed shot,
524,Ronaldo,LaLiga,Group Stage,2017-05-17,A,Celta de Vigo  ,CF,10,Left-footed shot,
526,Ronaldo,LaLiga,Group Stage,2017-05-21,A,Málaga CF  ,CF,2,Right-footed shot,Isco
527,Ronaldo,Champions League,Final,2017-06-03,A,Juventus,CF,20,Right-footed shot,Daniel Carvajal
529,Ronaldo,Supercopa,Final,2017-08-13,A,FC Barcelona,CF,80,Right-footed shot,Isco
530,Ronaldo,Champions League,Group Stage,2017-09-13,H,APOEL Nicosia,CF,12,Counter attack goal,Gareth Bale
532,Ronaldo,Champions League,Group Stage,2017-09-26,A,Bor. Dortmund,CF,49,Left-footed shot,Gareth Bale
534,Ronaldo,LaLiga,Group Stage,2017-10-14,A,Getafe  ,CF,85,Right-footed shot,Isco
535,Ronaldo,Champions League,Group Stage,2017-10-17,H,Spurs,LW,43,Penalty,
536,Ronaldo,Champions League,Group Stage,2017-11-01,A,Spurs,LW,80,Right-footed shot,Borja Mayoral
537,Ronaldo,Champions League,Group Stage,2017-11-21,A,APOEL Nicosia,LW,49,Header,Marcelo
539,Ronaldo,LaLiga,Group Stage,2017-11-25,H,Málaga CF  ,CF,76,Penalty rebound,
540,Ronaldo,Champions League,Group Stage,2017-12-06,H,Bor. Dortmund,LW,12,Right-footed shot,Mateo Kovacic
541,Ronaldo,LaLiga,Group Stage,2017-12-09,H,Sevilla FC  ,CF,23,Right-footed shot,Marco Asensio
543,Ronaldo,Club World Cup,Semi-Finals,2017-12-13,A,Al-Jazira,LW,53,Right-footed shot,Luka Modric
544,Ronaldo,Club World Cup,Final,2017-12-16,H,Grêmio,LW,53,Direct free kick,
545,Ronaldo,LaLiga,Group Stage,2018-01-21,H,Dep. La Coruña  ,LW,78,Left-footed shot,Casemiro
547,Ronaldo,LaLiga,Group Stage,2018-01-27,A,Valencia  ,LW,16,Penalty,
549,Ronaldo,LaLiga,Group Stage,2018-02-10,H,Real Sociedad  ,CF,27,Right-footed shot,Marcelo
552,Ronaldo,Champions League,Round of 16,2018-02-14,H,Paris SG,LW,45,Penalty,
554,Ronaldo,LaLiga,Group Stage,2018-02-18,A,Real Betis  ,CF,65,Right-footed shot,Casemiro
555,Ronaldo,LaLiga,Group Stage,2018-02-24,H,Alavés  ,CF ,44,Left-footed shot,Karim Benzema
557,Ronaldo,LaLiga,Group Stage,2018-03-03,H,Getafe  ,CF,46,Left-footed shot,Karim Benzema
559,Ronaldo,Champions League,Round of 16,2018-03-06,A,Paris SG,CF,51,Header,Lucas Vázquez
560,Ronaldo,LaLiga,Group Stage,2018-03-10,A,SD Eibar  ,CF,33,Right-footed shot,Luka Modric
562,Ronaldo,LaLiga,Group Stage,2018-03-18,H,Girona  ,CF,11,Left-footed shot,Toni Kroos
566,Ronaldo,Champions League,Quarter-Finals,2018-04-03,A,Juventus,CF,3,Right-footed shot,Isco
568,Ronaldo,LaLiga,Group Stage,2018-04-08,H,Atlético Madrid  ,CF,53,Right-footed shot,Gareth Bale
569,Ronaldo,Champions League,Quarter-Finals,2018-04-11,H,Juventus,CF,97,Penalty,
570,Ronaldo,LaLiga,Group Stage,2018-04-18,H,Athletic  ,CF,87,Right-footed shot,Luka Modric
571,Ronaldo,LaLiga,Group Stage,2018-05-06,A,FC Barcelona  ,LW,14,Right-footed shot,Karim Benzema
572,Ronaldo,LaLiga,Group Stage,2018-05-19,A,Villarreal  ,CF,32,Header,Marcelo
580,Ronaldo,Champions League,Group Stage,2018-11-07,H,Man Utd,CF,65,Right-footed shot,Leonardo Bonucci
594,Ronaldo,Champions League,Round of 16,2019-03-12,H,Atlético Madrid,CF,27,Header,Federico Bernardeschi
597,Ronaldo,Champions League,Quarter-Finals,2019-04-10,A,Ajax,LW,45,Header,João Cancelo
598,Ronaldo,Champions League,Quarter-Finals,2019-04-16,H,Ajax,LW,28,Header,Miralem Pjanic
604,Ronaldo,Champions League,Group Stage,2019-10-01,H,Bay. Leverkusen,CF,89,Right-footed shot,Paulo Dybala
609,Ronaldo,Champions League,Group Stage,2019-12-11,A,Bay. Leverkusen,CF,75,Right-footed shot,Paulo Dybala
636,Ronaldo,Champions League,Round of 16,2020-08-07,H,Olympique Lyon,LW,43,Penalty,
646,Ronaldo,Champions League,Group Stage,2020-11-24,H,Ferencváros,CF,35,Left-footed shot,Juan Cuadrado
647,Ronaldo,Champions League,Group Stage,2020-12-02,H,Dynamo Kyiv,CF,57,Right-footed shot,Álvaro Morata
648,Ronaldo,Champions League,Group Stage,2020-12-08,A,FC Barcelona,CF,13,Penalty,
656,Messi,LaLiga,Group Stage,2005-05-01,H,Albacete  ,CF,91,Left-footed shot,Ronaldinho
657,Messi,Champions League,Group Stage,2005-11-02,H,Panathinaikos,RW,34,Left-footed shot,
658,Messi,LaLiga,Group Stage,2005-11-27,H,Racing  ,RW,51,Left-footed shot,Samuel Eto'o
659,Messi,LaLiga,Group Stage,2006-01-15,H,Athletic  ,RW,50,Left-footed shot,Mark van Bommel
660,Messi,LaLiga,Group Stage,2006-01-22,H,Alavés  ,CF,82,Left-footed shot,Ronaldinho
661,Messi,LaLiga,Group Stage,2006-01-29,A,RCD Mallorca  ,CF,75,Right-footed shot,Sylvinho
663,Messi,Copa del Rey,Quarter-Finals,2006-02-01,H,Real Zaragoza,CF,42,Header,Ludovic Giuly
664,Messi,LaLiga,Group Stage,2006-02-18,H,Real Betis  ,RW,84,Left-footed shot,
665,Messi,LaLiga,Group Stage,2006-08-28,A,Celta de Vigo  ,LW,59,Left-footed shot,Andrés Iniesta
666,Messi,LaLiga,Group Stage,2006-09-09,H,CA Osasuna  ,RW,36,Left-footed shot,Samuel Eto'o
667,Messi,Champions League,Group Stage,2006-09-27,A,Werder Bremen,RW,89,Left-footed shot,Deco
668,Messi,LaLiga,Group Stage,2006-10-15,H,Sevilla FC  ,RW,80,Right-footed shot,Xavi
669,Messi,LaLiga,Group Stage,2007-03-10,H,Real Madrid  ,RW,11,Left-footed shot,Samuel Eto'o
672,Messi,LaLiga,Group Stage,2007-03-17,A,Recr. Huelva  ,RW,86,Left-footed shot,
673,Messi,LaLiga,Group Stage,2007-03-31,H,Dep. La Coruña  ,RW,45,Left-footed shot,Ronaldinho
674,Messi,Copa del Rey,Semi-Finals,2007-04-18,H,Getafe,RW,29,Solo run,Xavi
676,Messi,LaLiga,Group Stage,2007-05-20,A,Atlético Madrid  ,RW,39,Left-footed shot,Samuel Eto'o
678,Messi,LaLiga,Group Stage,2007-06-09,H,Espanyol  ,RW,43,,Gianluca Zambrotta
680,Messi,LaLiga,Group Stage,2007-06-17,A,Gimnàstic  ,RW,34,Left-footed shot,Deco
682,Messi,Champions League,Group Stage,2007-09-19,H,Olympique Lyon,RW,82,Left-footed shot,Andrés Iniesta
683,Messi,LaLiga,Group Stage,2007-09-22,H,Sevilla FC  ,RW,72,Left-footed shot,Thierry Henry
685,Messi,LaLiga,Group Stage,2007-09-26,H,Real Zaragoza  ,RW,5,Left-footed shot,Thierry Henry
687,Messi,LaLiga,Group Stage,2007-09-29,A,Levante  ,RW,50,Left-footed shot,Deco
688,Messi,Champions League,Group Stage,2007-10-02,A,VfB Stuttgart,RW,66,Deflected shot on goal,Thierry Henry
689,Messi,LaLiga,Group Stage,2007-10-07,H,Atlético Madrid  ,RW,19,Left-footed shot,Ronaldinho
690,Messi,LaLiga,Group Stage,2007-10-28,H,UD Almería  ,RW,80,Penalty,
691,Messi,Champions League,Group Stage,2007-11-07,H,Rangers,RW,41,Left-footed shot,Ronaldinho
692,Messi,LaLiga,Group Stage,2007-11-24,H,Recr. Huelva  ,RW,81,Penalty,
693,Messi,Champions League,Group Stage,2007-11-27,A,Olympique Lyon,RW,58,Penalty,
694,Messi,Champions League,Round of 16,2008-02-20,A,Celtic,RW,18,Left-footed shot,Deco
696,Messi,LaLiga,Group Stage,2008-02-24,H,Levante  ,RW,44,Left-footed shot,Xavi
697,Messi,LaLiga,Group Stage,2008-05-04,H,Valencia  ,RW,5,Penalty,
698,Messi,LaLiga,Group Stage,2008-09-13,H,Racing  ,RW,70,Penalty,
699,Messi,LaLiga,Group Stage,2008-09-21,A,Sporting Gijón  ,RW,85,Left-footed shot,Andrés Iniesta
701,Messi,LaLiga,Group Stage,2008-09-27,A,Espanyol  ,RW,90,Penalty,
702,Messi,Champions League,Group Stage,2008-10-01,A,Shakhtar D.,RW,87,Right-footed shot,Bojan Krkic
704,Messi,LaLiga,Group Stage,2008-10-04,H,Atlético Madrid  ,RW,8,Direct free kick,
705,Messi,Champions League,Group Stage,2008-10-22,A,FC Basel,CF,4,Left-footed shot,Dani Alves
706,Messi,LaLiga,Group Stage,2008-11-01,A,Málaga CF  ,RW,19,Left-footed shot,
707,Messi,Champions League,Group Stage,2008-11-04,H,FC Basel,RW,61,Left-footed shot,Thierry Henry
708,Messi,Copa del Rey,Group Stage,2008-11-12,H,Benidorm CF,RW,86,Penalty rebound,
709,Messi,LaLiga,Group Stage,2008-11-16,A,Recr. Huelva  ,RW,51,Left-footed shot,Xavi
710,Messi,Champions League,Group Stage,2008-11-26,A,Sporting CP,RW,49,Left-footed shot,Dani Alves
711,Messi,LaLiga,Group Stage,2008-11-29,A,Sevilla FC  ,RW,78,Left-footed shot,Xavi
713,Messi,LaLiga,Group Stage,2008-12-13,H,Real Madrid  ,RW,89,Left-footed shot,Thierry Henry
714,Messi,Copa del Rey,Round of 16,2009-01-06,A,Atlético Madrid,RW,11,Left-footed shot,Dani Alves
717,Messi,LaLiga,Group Stage,2009-01-11,A,CA Osasuna  ,RW,84,Left-footed shot,Dani Alves
718,Messi,LaLiga,Group Stage,2009-01-17,H,Dep. La Coruña  ,RW,21,Left-footed shot,
719,Messi,LaLiga,Group Stage,2009-01-24,H,CD Numancia  ,RW,49,Left-footed shot,Dani Alves
721,Messi,LaLiga,Group Stage,2009-02-01,A,Racing  ,RW,65,Right-footed shot,Xavi
723,Messi,LaLiga,Group Stage,2009-03-01,A,Atlético Madrid  ,RW,30,Left-footed shot,
724,Messi,Copa del Rey,Semi-Finals,2009-03-04,A,RCD Mallorca,RW,81,Left-footed shot,Gerard Piqué
725,Messi,LaLiga,Group Stage,2009-03-07,H,Athletic  ,RW,31,Penalty,
726,Messi,Champions League,Round of 16,2009-03-11,H,Olympique Lyon,RW,40,Left-footed shot,Samuel Eto'o
727,Messi,LaLiga,Group Stage,2009-03-22,H,Málaga CF  ,RW,26,Right-footed shot,Xavi
728,Messi,Champions League,Quarter-Finals,2009-04-08,H,Bayern Munich ,RW,9,Left-footed shot,Samuel Eto'o
730,Messi,LaLiga,Group Stage,2009-04-18,A,Getafe  ,RW,18,Left-footed shot,Xavi
731,Messi,LaLiga,Group Stage,2009-04-25,A,Valencia  ,RW,23,Left-footed shot,Andrés Iniesta
732,Messi,LaLiga,Group Stage,2009-05-02,A,Real Madrid  ,CF,35,Left-footed shot,Xavi
734,Messi,Copa del Rey,Final,2009-05-13,H,Athletic,RW,55,Left-footed shot,Samuel Eto'o
735,Messi,Champions League,Final,2009-05-27,H,Man Utd,CF,70,Header,Xavi
736,Messi,Supercopa,Final,2009-08-23,H,Athletic,RW,50,Right-footed shot,Zlatan Ibrahimovic
738,Messi,LaLiga,Group Stage,2009-09-12,A,Getafe  ,RW,78,Header,Zlatan Ibrahimovic
739,Messi,LaLiga,Group Stage,2009-09-19,H,Atlético Madrid  ,RW,15,Left-footed shot,Xavi
741,Messi,LaLiga,Group Stage,2009-09-22,A,Racing  ,RW,23,Left-footed shot,Xavi
743,Messi,Champions League,Group Stage,2009-09-29,H,Dynamo Kyiv,RW,25,Left-footed shot,Andrés Iniesta
744,Messi,LaLiga,Group Stage,2009-10-25,H,Real Zaragoza  ,RW,80,Left-footed shot,Andrés Iniesta
745,Messi,LaLiga,Group Stage,2009-11-07,H,RCD Mallorca  ,RW,86,Penalty,
